"","Water","TAXON","SIASAM","d13C","d15N","C.N","RWT","d13C_pel","d15N_pel","d13C_lit","d15N_lit","length","length_mean","length_sd","Water2","d13C_norm","p_lit","adjp_lit","p_litnorm","mean.pl","sd.pl","mean.adjpl","sd.adjpl","tp_2","mean.tp2","sd.tp2"
"12","Baby Lk.","COSHIN",11012,-30.38,7.22,3.7,10,-30.69,1.85,-28.08,3.6,98,91.8,6.98888005652153,"Barren Lake",-30.037,0.250191570881227,0.250191570881227,0.397597885139777,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.45063669145819,3.36053837052062,0.173503764332628
"13","Baby Lk.","COSHIN",11013,-31.58,6.38,3.59,10,-30.69,1.85,-28.08,3.6,95,91.8,6.98888005652153,"Barren Lake",-31.3459,-0.251302681992335,0,0.125143106929498,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.33235294117647,3.36053837052062,0.173503764332628
"14","Baby Lk.","COSHIN",11014,-28.99,7.68,3.53,13,-30.69,1.85,-28.08,3.6,103,91.8,6.98888005652153,"Barren Lake",-28.8153,0.718275862068966,0.718275862068966,0.651901500801399,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.34500507099391,3.36053837052062,0.173503764332628
"15","Baby Lk.","COSHIN",11011,-32.3,5.96,3.71,10,-30.69,1.85,-28.08,3.6,96,91.8,6.98888005652153,"Barren Lake",-31.9471,-0.481647509578543,0,0,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.20882352941176,3.36053837052062,0.173503764332628
"16","Baby Lk.","NPIKE",10001,-26.46,10.03,3.19,3000,-30.69,1.85,-28.08,3.6,857,857,NA,"Barren Lake",-26.6219,1.55865900383142,1,NA,1.55865900383142,NA,1,NA,3.89117647058824,3.89117647058824,NA
"17","Baby Lk.","PSEED",11029,-33.74,5.76,3.25,24,-30.69,1.85,-28.08,3.6,106,89.8,11.2822377606966,"Barren Lake",-33.8425,-1.20785440613027,0,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.15,3.08295498084291,0.153924440878051
"18","Baby Lk.","PSEED",11021,-26.04,8.06,3.32,9,-30.69,1.85,-28.08,3.6,74,89.8,11.2822377606966,"Barren Lake",-26.0732,1.76888888888889,1,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.31176470588235,3.08295498084291,0.153924440878051
"19","Baby Lk.","PSEED",11022,-24.22,7.68,3.32,11,-30.69,1.85,-28.08,3.6,81,89.8,11.2822377606966,"Barren Lake",-24.2532,2.46620689655172,1,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.2,3.08295498084291,0.153924440878051
"20","Baby Lk.","PSEED",11023,-24.22,7.9,3.37,11,-30.69,1.85,-28.08,3.6,84,89.8,11.2822377606966,"Barren Lake",-24.2037,2.4851724137931,1,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.26470588235294,3.08295498084291,0.153924440878051
"21","Baby Lk.","PSEED",11020,-24.26,6.85,3.44,8,-30.69,1.85,-28.08,3.6,76,89.8,11.2822377606966,"Barren Lake",-24.1744,2.49639846743295,1,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,2.95588235294118,3.08295498084291,0.153924440878051
"22","Baby Lk.","PSEED",11025,-27.28,6.77,3.32,14,-30.69,1.85,-28.08,3.6,92,89.8,11.2822377606966,"Barren Lake",-27.3132,1.29379310344827,1,0.964571928144709,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,2.93235294117647,3.08295498084291,0.153924440878051
"23","Baby Lk.","PSEED",11026,-29.41,6.1,3.27,20,-30.69,1.85,-28.08,3.6,96,89.8,11.2822377606966,"Barren Lake",-29.4927,0.458735632183908,0.458735632183908,0.510896942195208,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.01388607167005,3.08295498084291,0.153924440878051
"24","Baby Lk.","PSEED",11027,-26.32,7.23,3.25,21,-30.69,1.85,-28.08,3.6,101,89.8,11.2822377606966,"Barren Lake",-26.4225,1.63505747126437,1,NA,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.06764705882353,3.08295498084291,0.153924440878051
"25","Baby Lk.","PSEED",11024,-28.37,6.17,3.28,13,-30.69,1.85,-28.08,3.6,86,89.8,11.2822377606966,"Barren Lake",-28.4428,0.860996168582374,0.860996168582374,0.729439437147436,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,2.82742844264143,3.08295498084291,0.153924440878051
"26","Baby Lk.","PSEED",11028,-31.76,5.61,3.26,21,-30.69,1.85,-28.08,3.6,102,89.8,11.2822377606966,"Barren Lake",-31.8526,-0.44544061302682,0,0.0196706979455042,1.18119540229885,1.27468522152433,0.731973180076628,0.420833223634808,3.10588235294118,3.08295498084291,0.153924440878051
"27","Baby Lk.","SMB",11031,-28.59,7.11,3.39,19,-30.69,1.85,-28.08,3.6,113,126,14.0142784330839,"Barren Lake",-28.5539,0.818429118773946,0.818429118773946,0.706313357340605,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.12580854180753,3.19142814213808,0.0747301060501219
"28","Baby Lk.","SMB",11032,-27.45,7.47,3.45,30,-30.69,1.85,-28.08,3.6,132,126,14.0142784330839,"Barren Lake",-27.3545,1.277969348659,1,0.955975104598156,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.13823529411765,3.19142814213808,0.0747301060501219
"29","Baby Lk.","SMB",11033,-29.32,7.03,3.4,27,-30.69,1.85,-28.08,3.6,128,126,14.0142784330839,"Barren Lake",-29.274,0.542528735632183,0.542528735632183,0.556420557440519,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.24428668018932,3.19142814213808,0.0747301060501219
"30","Baby Lk.","SMB",11030,-27.69,7.92,3.33,41,-30.69,1.85,-28.08,3.6,144,126,14.0142784330839,"Barren Lake",-27.7133,1.14049808429119,1,0.881288899065382,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.27058823529412,3.19142814213808,0.0747301060501219
"31","Baby Lk.","SMB",11035,-28.87,6.91,3.46,18,-30.69,1.85,-28.08,3.6,106,126,14.0142784330839,"Barren Lake",-28.7646,0.737701149425286,0.737701149425286,0.662454986365812,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.10853617308993,3.19142814213808,0.0747301060501219
"32","Baby Lk.","SMB",11034,-29.47,6.98,3.39,34,-30.69,1.85,-28.08,3.6,133,126,14.0142784330839,"Barren Lake",-29.4339,0.481264367816093,0.481264367816093,0.523136487583523,0.833065134099617,0.319355118795951,0.763320561941252,0.220921862812497,3.26111392832995,3.19142814213808,0.0747301060501219
"33","Baby Lk.","WS",10002,-26.25,6.05,3.31,210,-30.69,1.85,-28.08,3.6,278,180.571428571429,76.2252301687946,"Barren Lake",-26.2931,1.68463601532567,1,NA,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.72058823529412,2.77830882352941,0.198529800808831
"34","Baby Lk.","WS",10003,-31.79,3.43,3.47,131,-30.69,1.85,-28.08,3.6,241,180.571428571429,76.2252301687946,"Barren Lake",-31.6747,-0.377279693486588,0,0.0567015674111699,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.46470588235294,2.77830882352941,0.198529800808831
"35","Baby Lk.","WS",10004,-30.98,5.38,3.34,193,-30.69,1.85,-28.08,3.6,260,180.571428571429,76.2252301687946,"Barren Lake",-30.9934,-0.116245210727969,0,0.198517932599238,1.47944444444444,1.12939246379639,0.75,0.462910049886276,3.03823529411765,2.77830882352941,0.198529800808831
"36","Baby Lk.","WS",10005,-27.09,5.74,3.3,NA,-30.69,1.85,-28.08,3.6,NA,180.571428571429,76.2252301687946,"Barren Lake",-27.143,1.35900383141762,1,1,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.62941176470588,2.77830882352941,0.198529800808831
"37","Baby Lk.","WS",11001,-24.73,6.25,3.38,12,-30.69,1.85,-28.08,3.6,104,180.571428571429,76.2252301687946,"Barren Lake",-24.7038,2.2935632183908,1,NA,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.77941176470588,2.77830882352941,0.198529800808831
"38","Baby Lk.","WS",11002,-24.17,5.89,3.35,20,-30.69,1.85,-28.08,3.6,121,180.571428571429,76.2252301687946,"Barren Lake",-24.1735,2.49674329501915,1,NA,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.67352941176471,2.77830882352941,0.198529800808831
"39","Baby Lk.","WS",11003,-24.86,6.66,3.34,32,-30.69,1.85,-28.08,3.6,151,180.571428571429,76.2252301687946,"Barren Lake",-24.8734,2.22858237547893,1,NA,1.47944444444444,1.12939246379639,0.75,0.462910049886276,2.9,2.77830882352941,0.198529800808831
"40","Baby Lk.","WS",11004,-24.85,7.07,3.43,12,-30.69,1.85,-28.08,3.6,109,180.571428571429,76.2252301687946,"Barren Lake",-24.7743,2.26655172413793,1,NA,1.47944444444444,1.12939246379639,0.75,0.462910049886276,3.02058823529412,2.77830882352941,0.198529800808831
"41","Baby Lk.","YPERCH",11045,-27.88,6.88,3.33,24,-30.69,1.85,-28.08,3.6,132,96.6,17.3858179751965,"Barren Lake",-27.9033,1.06770114942529,1,0.841739347640558,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,2.96470588235294,3.06974785891368,0.150230994035891
"42","Baby Lk.","YPERCH",11037,-29.11,6.73,3.27,8,-30.69,1.85,-28.08,3.6,88,96.6,17.3858179751965,"Barren Lake",-29.1927,0.573678160919541,0.573678160919541,0.573343602339668,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.14001859364435,3.06974785891368,0.150230994035891
"43","Baby Lk.","YPERCH",11044,-29.41,7.3,3.49,18,-30.69,1.85,-28.08,3.6,116,96.6,17.3858179751965,"Barren Lake",-29.2749,0.542183908045977,0.542183908045977,0.556233217460086,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.32387592968222,3.06974785891368,0.150230994035891
"44","Baby Lk.","YPERCH",11036,-28.31,6.11,3.29,5,-30.69,1.85,-28.08,3.6,77,96.6,17.3858179751965,"Barren Lake",-28.3729,0.887777777777778,0.887777777777778,0.743989508961096,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,2.79599673202614,3.06974785891368,0.150230994035891
"45","Baby Lk.","YPERCH",11041,-28.93,6.54,3.31,9,-30.69,1.85,-28.08,3.6,94,96.6,17.3858179751965,"Barren Lake",-28.9731,0.657816091954023,0.657816091954023,0.619054557565413,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.04082995267072,3.06974785891368,0.150230994035891
"46","Baby Lk.","YPERCH",11038,-28.88,6.24,3.27,6,-30.69,1.85,-28.08,3.6,81,96.6,17.3858179751965,"Barren Lake",-28.9627,0.661800766283525,0.661800766283525,0.621219375117088,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,2.95054372323642,3.06974785891368,0.150230994035891
"47","Baby Lk.","YPERCH",11039,-29.63,6.27,3.33,5,-30.69,1.85,-28.08,3.6,80,96.6,17.3858179751965,"Barren Lake",-29.6533,0.3972030651341,0.3972030651341,0.477467163464541,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.09555724588686,3.06974785891368,0.150230994035891
"48","Baby Lk.","YPERCH",11040,-29.27,6.35,3.3,8,-30.69,1.85,-28.08,3.6,93,96.6,17.3858179751965,"Barren Lake",-29.323,0.52375478927203,0.52375478927203,0.546220936283591,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.05394974081587,3.06974785891368,0.150230994035891
"49","Baby Lk.","YPERCH",11042,-33.64,6.09,3.33,11,-30.69,1.85,-28.08,3.6,99,96.6,17.3858179751965,"Barren Lake",-33.6633,-1.13919540229885,0,NA,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.24705882352941,3.06974785891368,0.150230994035891
"50","Baby Lk.","YPERCH",11043,-28.94,6.67,3.29,16,-30.69,1.85,-28.08,3.6,106,96.6,17.3858179751965,"Barren Lake",-29.0029,0.64639846743295,0.64639846743295,0.61285152265773,0.481911877394636,0.600666605305479,0.589061302681993,0.271192801450295,3.08494196529186,3.06974785891368,0.150230994035891
"51","Daisy Lk.","BBULL",11046,-30.98,5.53,3.25,42,-32.93,3.1,-25.88,1.69,143,172.8,17.1062042026343,"Semi-barren Lake",-31.0825,0.262056737588652,0.262056737588652,0.365700736974615,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,2.82338235294118,3.23091058823529,0.197234892989774
"52","Daisy Lk.","BBULL",11048,-28.35,6.19,3.25,74,-32.93,3.1,-25.88,1.69,168,172.8,17.1062042026343,"Semi-barren Lake",-28.4525,0.635106382978723,0.635106382978723,0.687134109825106,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.17220588235294,3.23091058823529,0.197234892989774
"53","Daisy Lk.","BBULL",11049,-28.37,6.61,3.27,71,-32.93,3.1,-25.88,1.69,166,172.8,17.1062042026343,"Semi-barren Lake",-28.4527,0.635078014184397,0.635078014184397,0.687109666222608,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.29572352941176,3.23091058823529,0.197234892989774
"54","Daisy Lk.","BBULL",11050,-26.64,6.32,3.22,73,-32.93,3.1,-25.88,1.69,168,172.8,17.1062042026343,"Semi-barren Lake",-26.7722,0.873446808510638,0.873446808510638,0.892497036213197,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.30928235294118,3.23091058823529,0.197234892989774
"55","Daisy Lk.","BBULL",11047,-28.08,5.42,3.27,42,-32.93,3.1,-25.88,1.69,150,172.8,17.1062042026343,"Semi-barren Lake",-28.1627,0.676212765957447,0.676212765957447,0.722552889844906,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,2.96278235294118,3.23091058823529,0.197234892989774
"56","Daisy Lk.","BBULL",11052,-26.23,6.79,3.25,94,-32.93,3.1,-25.88,1.69,187,172.8,17.1062042026343,"Semi-barren Lake",-26.3325,0.935815602836879,0.935815602836879,0.94623629630535,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.47338235294118,3.23091058823529,0.197234892989774
"57","Daisy Lk.","BBULL",11053,-26.9,6.26,3.27,80,-32.93,3.1,-25.88,1.69,183,172.8,17.1062042026343,"Semi-barren Lake",-26.9827,0.84358865248227,0.84358865248227,0.866770144583909,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.27925294117647,3.23091058823529,0.197234892989774
"58","Daisy Lk.","BBULL",11054,-27.93,6.48,3.24,88,-32.93,3.1,-25.88,1.69,189,172.8,17.1062042026343,"Semi-barren Lake",-28.0424,0.693276595744681,0.693276595744681,0.737255716747534,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.28162352941176,3.23091058823529,0.197234892989774
"59","Daisy Lk.","BBULL",11051,-26.9,6.38,3.26,86,-32.93,3.1,-25.88,1.69,178,172.8,17.1062042026343,"Semi-barren Lake",-26.9926,0.842184397163121,0.842184397163121,0.865560186260251,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.31396470588235,3.23091058823529,0.197234892989774
"60","Daisy Lk.","BBULL",11055,-26.31,6.55,3.24,94,-32.93,3.1,-25.88,1.69,196,172.8,17.1062042026343,"Semi-barren Lake",-26.4224,0.923063829787234,0.923063829787234,0.935248896982438,0.731982978723404,0.201903894699463,0.731982978723404,0.201903894699463,3.39750588235294,3.23091058823529,0.197234892989774
"61","Daisy Lk.","NPIKE",10006,-27.85,9.27,3.25,800,-32.93,3.1,-25.88,1.69,532,511.625,43.8990318799857,"Semi-barren Lake",-27.9525,0.706028368794326,0.706028368794326,0.748243116070447,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.1075,4.37921985294118,0.246184454835484
"62","Daisy Lk.","NPIKE",10007,-27.43,9.36,3.21,950,-32.93,3.1,-25.88,1.69,555,511.625,43.8990318799857,"Semi-barren Lake",-27.5721,0.759985815602837,0.759985815602837,0.794734848021902,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.15634705882353,4.37921985294118,0.246184454835484
"63","Daisy Lk.","NPIKE",10008,-27.9,10.73,3.19,630,-32.93,3.1,-25.88,1.69,490,511.625,43.8990318799857,"Semi-barren Lake",-28.0619,0.690510638297873,0.690510638297873,0.734872465503966,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.53047647058824,4.37921985294118,0.246184454835484
"64","Daisy Lk.","NPIKE",10009,-26.96,10.79,3.19,910,-32.93,3.1,-25.88,1.69,554,511.625,43.8990318799857,"Semi-barren Lake",-27.1219,0.823843971631205,0.823843971631205,0.849757397245206,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.60341764705882,4.37921985294118,0.246184454835484
"65","Daisy Lk.","NPIKE",10013,-27.81,10.7,3.17,630,-32.93,3.1,-25.88,1.69,512,511.625,43.8990318799857,"Semi-barren Lake",-27.9917,0.700468085106383,0.700468085106383,0.743452169980812,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.52578235294118,4.37921985294118,0.246184454835484
"66","Daisy Lk.","NPIKE",10010,-26.74,10.86,3.21,550,-32.93,3.1,-25.88,1.69,456,511.625,43.8990318799857,"Semi-barren Lake",-26.8821,0.857858156028369,0.857858156028369,0.879065276640472,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.63811176470588,4.37921985294118,0.246184454835484
"67","Daisy Lk.","NPIKE",10011,-27.78,10.46,3.18,880,-32.93,3.1,-25.88,1.69,549,511.625,43.8990318799857,"Semi-barren Lake",-27.9518,0.706127659574468,0.706127659574468,0.74832866867919,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.45754117647059,4.37921985294118,0.246184454835484
"68","Daisy Lk.","NPIKE",10012,-28.39,9.07,3.21,590,-32.93,3.1,-25.88,1.69,445,511.625,43.8990318799857,"Semi-barren Lake",-28.5321,0.623815602836879,0.623815602836879,0.677405556030848,0.733579787234042,0.0763471646256254,0.733579787234042,0.0763471646256254,4.01458235294118,4.37921985294118,0.246184454835484
"69","Daisy Lk.","PSEED",11057,-29.37,7.45,3.26,16,-32.93,3.1,-25.88,1.69,94,93.25,19.4486503387767,"Semi-barren Lake",-29.4626,0.491829787234042,0.491829787234042,0.563681695408269,0.54995744680851,0.11923495262802,0.54995744680851,0.11923495262802,3.48337647058824,3.45233529411765,0.138441450113661
"70","Daisy Lk.","PSEED",11058,-27.72,7.53,3.26,25,-32.93,3.1,-25.88,1.69,102,93.25,19.4486503387767,"Semi-barren Lake",-27.8126,0.725872340425532,0.725872340425532,0.765341416017893,0.54995744680851,0.11923495262802,0.54995744680851,0.11923495262802,3.60396470588235,3.45233529411765,0.138441450113661
"71","Daisy Lk.","PSEED",11059,-29.15,7.31,3.22,28,-32.93,3.1,-25.88,1.69,111,93.25,19.4486503387767,"Semi-barren Lake",-29.2822,0.517418439716312,0.517418439716312,0.585729824861588,0.54995744680851,0.11923495262802,0.54995744680851,0.11923495262802,3.45281176470588,3.45233529411765,0.138441450113661
"72","Daisy Lk.","PSEED",11056,-29.68,6.76,3.38,6,-32.93,3.1,-25.88,1.69,66,93.25,19.4486503387767,"Semi-barren Lake",-29.6538,0.464709219858156,0.464709219858156,0.540313611420051,0.54995744680851,0.11923495262802,0.54995744680851,0.11923495262802,3.26918823529412,3.45233529411765,0.138441450113661
"73","Daisy Lk.","SMB",10016,-28.59,7.61,3.6,230,-32.93,3.1,-25.88,1.69,250,233.2,101.238436636643,"Semi-barren Lake",-28.346,0.650212765957447,0.650212765957447,0.700150328155364,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.59611764705882,3.67999117647059,0.150160726243797
"74","Daisy Lk.","SMB",10017,-28.44,7.96,3.27,240,-32.93,3.1,-25.88,1.69,261,233.2,101.238436636643,"Semi-barren Lake",-28.5227,0.625148936170213,0.625148936170213,0.67855440534826,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.68866470588235,3.67999117647059,0.150160726243797
"75","Daisy Lk.","SMB",10018,-27.8,8.53,3.4,265,-32.93,3.1,-25.88,1.69,263,233.2,101.238436636643,"Semi-barren Lake",-27.754,0.73418439716312,0.73418439716312,0.772503391549847,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.90152941176471,3.67999117647059,0.150160726243797
"76","Daisy Lk.","SMB",10019,-29.06,8.12,3.68,310,-32.93,3.1,-25.88,1.69,276,233.2,101.238436636643,"Semi-barren Lake",-28.7368,0.594780141843972,0.594780141843972,0.652387528874006,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.72312941176471,3.67999117647059,0.150160726243797
"77","Daisy Lk.","SMB",10020,-28.22,8.12,3.56,400,-32.93,3.1,-25.88,1.69,297,233.2,101.238436636643,"Semi-barren Lake",-28.0156,0.697078014184397,0.697078014184397,0.740531159482285,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.76555294117647,3.67999117647059,0.150160726243797
"78","Daisy Lk.","SMB",10021,-28.02,8.28,3.37,360,-32.93,3.1,-25.88,1.69,295,233.2,101.238436636643,"Semi-barren Lake",-28.0037,0.698765957446809,0.698765957446809,0.741985553830924,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.81331176470588,3.67999117647059,0.150160726243797
"79","Daisy Lk.","SMB",10022,-28.57,8.32,3.3,660,-32.93,3.1,-25.88,1.69,369,233.2,101.238436636643,"Semi-barren Lake",-28.623,0.610921985815603,0.610921985815603,0.666295938695445,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.78864705882353,3.67999117647059,0.150160726243797
"80","Daisy Lk.","SMB",11062,-27.01,6.98,3.28,30,-32.93,3.1,-25.88,1.69,131,233.2,101.238436636643,"Semi-barren Lake",-27.0828,0.829390070921985,0.829390070921985,0.854536121533592,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.48512941176471,3.67999117647059,0.150160726243797
"81","Daisy Lk.","SMB",11063,-26.67,7.71,3.35,31,-32.93,3.1,-25.88,1.69,135,233.2,101.238436636643,"Semi-barren Lake",-26.6735,0.887446808510638,0.887446808510638,0.904559954046028,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.72391176470588,3.67999117647059,0.150160726243797
"82","Daisy Lk.","SMB",11060,-27.12,6.98,3.38,19,-32.93,3.1,-25.88,1.69,110,233.2,101.238436636643,"Semi-barren Lake",-27.0938,0.827829787234042,0.827829787234042,0.853191723396194,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.48448235294118,3.67999117647059,0.150160726243797
"83","Daisy Lk.","SMB",11061,-27.79,6.6,3.28,30,-32.93,3.1,-25.88,1.69,123,233.2,101.238436636643,"Semi-barren Lake",-27.8628,0.718751773049645,0.718751773049645,0.759206071790861,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.32748235294118,3.67999117647059,0.150160726243797
"84","Daisy Lk.","SMB",11066,-26.78,8,3.36,62,-32.93,3.1,-25.88,1.69,159,233.2,101.238436636643,"Semi-barren Lake",-26.7736,0.873248226950354,0.873248226950354,0.89232593099571,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.80331764705882,3.67999117647059,0.150160726243797
"85","Daisy Lk.","SMB",10023,-28.08,8.7,3.35,800,-32.93,3.1,-25.88,1.69,382,233.2,101.238436636643,"Semi-barren Lake",-28.0835,0.687446808510639,0.687446808510639,0.732232556434168,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.93214705882353,3.67999117647059,0.150160726243797
"86","Daisy Lk.","SMB",11064,-27.14,7.42,3.31,48,-32.93,3.1,-25.88,1.69,146,233.2,101.238436636643,"Semi-barren Lake",-27.1831,0.815163120567376,0.815163120567376,0.842277654880777,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.60864117647059,3.67999117647059,0.150160726243797
"87","Daisy Lk.","SMB",11065,-26.67,7.06,3.29,38,-32.93,3.1,-25.88,1.69,139,233.2,101.238436636643,"Semi-barren Lake",-26.7329,0.879021276595744,0.879021276595744,0.897300204104081,0.727992907801418,0.10816605092499,0.727992907801418,0.10816605092499,3.52924117647059,3.67999117647059,0.150160726243797
